Scene Name,Translation RMSE x 100,Rotation RMSE,t0 Translation RMSE x 100,t0 Rotation RMSE
01_Portugal_Fire_Hydrant0063,1.0455154180526733,2.9645265731001746,3.946211099624634,3.303908748290405
1983_Chevrolet_C101431,0.03702491521835327,0.7660457953828103,1.537682056427002,1.1728041338964537
26851W_Odeon_Lightab66,0.20167529582977295,1.573123194609589,0.43055713176727295,2.3289672073951566
4b05,3.0383710861206055,1.8585568733918223,3.4442551136016846,2.8631193147630194
Acoustic_Guitar0aa0,0.18678084015846252,2.146220468693891,0.5991495847702026,1.8633797742394242
Acoustic_Guitar0ceb,2.286121368408203,5.752412524948262,3.3382151126861572,5.847545925341389
Antique_World_War_II_German_Telephone0354,0.2326756715774536,0.9213560710206992,0.3895014524459839,0.394763834808567
Arnt_Shoes_-_Koston_11627,0.0906139612197876,2.0947132646180058,0.7047802209854126,2.6244684124955078
Banana_3D_Scan2373,0.7496498823165894,0.02562345176980362,1.0967873334884644,2.164232487341049
Banana_for_scale0a07,1.4167606830596924,3.647304610965544,1.2800037860870361,3.4939226279348246
Elephant1608,1.343446969985962,2.892971922663924,2.050691843032837,3.4397527647342043
F1110000,0.161086767911911,4.21836384070523,2.2192842960357666,4.964318061311342
F_15_C_Jungle_Camo16c6,1.0260075330734253,2.4279141208438677,2.54654598236084,2.000375179412843
Figura_San_Juan260d,0.24109631776809692,1.2562724241166627,2.894599676132202,2.734024457360837
FireHydrant_Fortnite_Style_0152,0.4002995789051056,4.0716763605815816,2.456145763397217,5.220994462654223
Fire_Hydrant_Low_Poly_06d5,42.057464599609375,159.64725327449426,40.287445068359375,159.19186894939065
Haunted_Mansion_-_Piano0e0d,5.844614028930664,2.5725585601662266,5.844614028930664,2.6575247159732864
Hl_Maximilian09f0,0.7884598970413208,2.44982471766132,2.6988604068756104,2.134846304395017
Hunter_Boy_With_Rabbit_Figurine0a5b,1.4463096857070923,0.9905404414672069,0.16609728336334229,2.1470896674266773
Lantern0231,34.09891891479492,176.26942337702278,35.35700607299805,176.5206943507612
MiG_23_Desert_Camo089f,3.115555763244629,3.8151775671357377,3.4211130142211914,3.773725669806354
Ornate_Medieval_Shield22a7,2.284494400024414,1.9504065319174155,0.35985374450683594,0.8772700174125218
PB170_Sneaker_Sm18c3,0.637461245059967,1.712491544425709,0.8705392479896545,2.927648798820207
PBR_Stylized_Tennis0bf9,0.11926703155040741,173.8029577024024,1.1065106391906738,175.7170049321303
Park_Bench0b05,7.883083820343018,178.55928013834819,5.487453937530518,179.56099914385922
Petroleum_lamp0230,0.20672380924224854,4.374872754879953,0.8453041315078735,3.8027608289171075
Phone_retro1a8c,4.76332950592041,3.021732630447857,5.59340763092041,4.999441539259468
Procedural_Bananas3a07,29.876617431640625,15.949599424469245,32.961944580078125,16.447488227962943
RTFKT__sneakers022c,0.906875729560852,1.8202901905965578,0.8281022310256958,2.350778826656565
Shield00ad,0.37520527839660645,1.331336355384898,0.37520527839660645,1.1314702641718601
Simply_Guitar14f8,2.532477617263794,7.855208468557661,2.4704887866973877,8.836955412488019
Smoked_Salmon_Plate5648,6.021309852600098,3.0009490954406943,5.121041297912598,1.9626556623374702
Stylized_Piano0a6e,8.586326599121094,96.99605162663694,4.0697245597839355,98.54842042566331
Stylized_Skateboard10c7,2.3353636264801025,179.9743765482302,3.9344847202301025,179.47598904777277
Teddy1b47,2.024183511734009,2.57395122892504,1.1679552793502808,3.2125260081419262
Test_Model15b4,0.2873539924621582,2.0675688597017094,1.5879511833190918,0.8084546254457682
Tolix_Industrial_Chairs3f2d,1.3407915830612183,2.20532902771869,1.5538007020950317,1.8848000134978204
Traffic_Cone37b5,11.460724830627441,15.931112765096204,11.006394386291504,16.412488083104503
Vikings_shield_and_axe1973,4.6302289962768555,17.01636503306932,2.8647871017456055,16.84390057666786
Xbox_360_Controller0866,1.6977019309997559,1.5976882115398858,0.7318210005760193,3.044267856901955
chair_teacher4659,0.7910404205322266,0.02562345176980362,1.3161983489990234,0.8882529032250686
elephant_android1a39,0.5938112735748291,1.7901206679985517,2.707153558731079,3.899742548129894
model_New_Qlone183a,1.4438163042068481,1.7082778023566105,1.321269154548645,2.898336638996346
shield14a6,17.573497772216797,55.42509666552915,17.573497772216797,55.41144705625257
