Scene Name,Translation RMSE x 100,Rotation RMSE,t0 Translation RMSE x 100,t0 Rotation RMSE
fern_0_100_even_odd,0.030029328539967537,0.013195851817727089,0.9680689573287964,1.3997185230255127
fern_30_70_even_odd,0.06435343623161316,0.06497826427221298,9.61656379699707,5.611567974090576
fern_50_50,0.056629978120326996,0.02756333351135254,3.636718273162842,2.9586141109466553
horns_0_100_even_odd,0.004566059447824955,0.015364308841526508,1.7415271997451782,1.2831549644470215
horns_30_70_even_odd,0.008159704506397247,0.020270926877856255,1.609495997428894,1.6391682624816895
horns_50_50,0.011141970753669739,0.008550000376999378,1.0247454643249512,1.6241461038589478
room_0_100_even_odd,0.006686122622340918,0.008519835770130157,2.504030704498291,1.9991281032562256
room_30_70_even_odd,0.007865658961236477,0.007410084363073111,2.0540683269500732,1.8564132452011108
room_50_50,0.02906431257724762,0.018759798258543015,3.233790874481201,3.135272264480591
trex_0_100_even_odd,0.003922802861779928,0.007840663194656372,3.246091604232788,1.4442988634109497
trex_30_70_even_odd,0.02003472112119198,0.006973185110837221,1.3781030178070068,1.7430680990219116
trex_50_50,0.01067807525396347,0.011637240648269653,1.1762566566467285,3.5331318378448486
