Scene Name,Translation RMSE x 100,Rotation RMSE
fern_0_100_even_odd,0.025640904903411865,0.022480877116322517
fern_30_70_even_odd,0.034273501485586166,0.01121962908655405
fern_50_50,0.036604516208171844,0.0077576665207743645
horns_0_100_even_odd,0.006990985944867134,0.0013679302064701915
horns_30_70_even_odd,0.016859402880072594,0.012763588689267635
horns_50_50,0.016105132177472115,0.018518708646297455
room_0_100_even_odd,0.008087364956736565,0.003284526988863945
room_30_70_even_odd,0.006336183287203312,0.004542311653494835
room_50_50,0.011013341136276722,0.016852885484695435
trex_0_100_even_odd,0.01226035226136446,0.01247267983853817
trex_30_70_even_odd,0.015226275660097599,0.007183507550507784
trex_50_50,0.011307585053145885,0.013982199132442474
