Scene Name,Translation RMSE x 100,Rotation RMSE
fern_0_100_even_odd_no_init,22.238786697387695,21.036867141723633
fern_0_100_even_odd_no_masks,6.8609395027160645,5.400378704071045
fern_0_100_even_odd_single_image,24.89476203918457,20.4324951171875
fern_30_70_even_odd_no_init,0.08105958253145218,0.08561456203460693
fern_30_70_even_odd_no_masks,0.7714500427246094,1.0191271305084229
fern_30_70_even_odd_single_image,38.575439453125,15.093870162963867
fern_50_50_no_init,9.88321590423584,12.044931411743164
fern_50_50_no_masks,41.83096694946289,24.74659538269043
fern_50_50_single_image,9.79648494720459,7.604480266571045
horns_0_100_even_odd_no_init,29.990520477294922,24.20701789855957
horns_0_100_even_odd_no_masks,0.016714300960302353,0.02087070234119892
horns_0_100_even_odd_single_image,0.02586122415959835,0.022182755172252655
horns_30_70_even_odd_no_init,0.010791715234518051,0.01638365536928177
horns_30_70_even_odd_no_masks,0.1419638693332672,0.023082450032234192
horns_30_70_even_odd_single_image,32.42144775390625,47.081382751464844
horns_50_50_no_init,0.021716291084885597,0.05130650848150253
horns_50_50_no_masks,0.019827600568532944,0.029868630692362785
horns_50_50_single_image,4.834419250488281,14.93310546875
room_0_100_even_odd_no_init,60.98809814453125,9.163604736328125
room_0_100_even_odd_no_masks,0.008086490444839,0.00998737569898367
room_0_100_even_odd_single_image,0.03372256085276604,0.017543751746416092
room_30_70_even_odd_no_init,0.018777210265398026,0.01448910217732191
room_30_70_even_odd_no_masks,0.051500655710697174,0.037876296788454056
room_30_70_even_odd_single_image,0.7635588049888611,1.1989978551864624
room_50_50_no_init,23.02935028076172,4.032937049865723
room_50_50_no_masks,0.02051660045981407,0.02903834544122219
room_50_50_single_image,0.03466170281171799,0.008437702432274818
trex_0_100_even_odd_no_init,43.97969055175781,31.78199577331543
trex_0_100_even_odd_no_masks,0.05345502123236656,0.012413064949214458
trex_0_100_even_odd_single_image,12.648812294006348,15.228647232055664
trex_30_70_even_odd_no_init,18.45986557006836,30.314224243164062
trex_30_70_even_odd_no_masks,0.036567166447639465,0.020148972049355507
trex_30_70_even_odd_single_image,9.225875854492188,8.763670921325684
trex_50_50_no_init,32.59323501586914,31.56806182861328
trex_50_50_no_masks,0.04094671458005905,0.037225715816020966
trex_50_50_single_image,15.809856414794922,12.814657211303711
