Scene Name,Translation RMSE x 100,Rotation RMSE,t0 Translation RMSE x 100,t0 Rotation RMSE
01_Portugal_Fire_Hydrant0063,0.23671016097068787,1.7410179914375508,0.16993656754493713,2.060557119890205
1983_Chevrolet_C101431,4.182799339294434,6.470728041604197,4.274542808532715,6.61936300314613
26851W_Odeon_Lightab66,2.3133795261383057,1.8617788002598576,3.0709784030914307,1.9751220758219012
4b05,0.8802292943000793,2.294742820332479,0.42055827379226685,3.114004385004251
Acoustic_Guitar0aa0,0.7368661165237427,2.1365611939205267,1.1599160432815552,2.4436038523526356
Acoustic_Guitar0ceb,1.9262747764587402,1.8911940403014795,1.4673666954040527,2.059137493766892
Antique_World_War_II_German_Telephone0354,1.7334654331207275,2.8224859329996312,1.029653787612915,3.32343050517528
Arnt_Shoes_-_Koston_11627,7.286849498748779,14.358504506020761,7.403579235076904,14.384358690301912
Banana_3D_Scan2373,0.1252293586730957,1.6416216602140754,0.1337885856628418,1.6901980815169422
Banana_for_scale0a07,2.545639991760254,1.2617078014172203,3.014847755432129,1.7390884241136235
Elephant1608,3.5608530044555664,8.08517827611692,3.8805246353149414,8.300297412178725
F1110000,3.5195746421813965,1.3010419804531794,4.104367733001709,1.3088347401200469
F_15_C_Jungle_Camo16c6,0.9522441625595093,0.02562345176980362,1.1750224828720093,1.4975353238242481
Figura_San_Juan260d,2.3406519889831543,4.384703365351429,2.820922374725342,4.311961887039795
FireHydrant_Fortnite_Style_0152,2.59999418258667,1.1145146009450941,2.980128765106201,1.5280274545114743
Fire_Hydrant_Low_Poly_06d5,0.507141649723053,5.304544311088106,0.47462135553359985,5.654339700398323
Haunted_Mansion_-_Piano0e0d,4.065153121948242,5.471870054903016,3.741476058959961,5.802040730093701
Hl_Maximilian09f0,2.597743272781372,9.586074961706817,3.159266710281372,9.803346124245627
Hunter_Boy_With_Rabbit_Figurine0a5b,0.04636049270629883,4.122660454921167,0.5544781684875488,4.270791589164713
Lantern0231,2.3867340087890625,2.793157255451876,2.428624153137207,2.687362058504004
MiG_23_Desert_Camo089f,3.4207046031951904,3.342255849055863,3.974980115890503,3.5460733262634188
Ornate_Medieval_Shield22a7,3.067375659942627,1.220410777324463,3.067375659942627,1.2941129580863677
PB170_Sneaker_Sm18c3,0.33212751150131226,2.0025850973699257,1.334630012512207,2.0708390282250795
PBR_Stylized_Tennis0bf9,0.7997494339942932,6.329749786532159,1.0784130096435547,6.440095884007206
Park_Bench0b05,5.352126598358154,1.9663328935232238,5.431567668914795,2.469530320885354
Petroleum_lamp0230,0.8356660604476929,2.5164696242000995,0.9120553731918335,2.8166886491709127
Phone_retro1a8c,8.551340103149414,22.997006122248727,8.476524353027344,23.123425969712525
Procedural_Bananas3a07,0.13509690761566162,1.2866604414834384,0.5045503377914429,2.0619998715837684
RTFKT__sneakers022c,1.636978268623352,2.782789637125217,2.0516357421875,2.961163200832922
Shield00ad,2.647909641265869,1.46827342885692,2.647909641265869,1.1391234510111872
Simply_Guitar14f8,1.0543800592422485,3.9468739812836597,1.0543800592422485,3.9093208488296414
Smoked_Salmon_Plate5648,2.6174516677856445,151.0698797073568,3.048893928527832,150.87897058751034
Stylized_Piano0a6e,3.861147165298462,12.462379146505755,3.1443655490875244,12.856392056646841
Stylized_Skateboard10c7,2.8133273124694824,179.17247100271288,3.0437350273132324,179.4499023390445
Teddy1b47,6.440427780151367,6.978254711436686,6.543996810913086,7.137316986572657
Test_Model15b4,1.9116073846817017,1.9378925653763839,2.1460204124450684,1.8380423170481675
Tolix_Industrial_Chairs3f2d,0.07398426532745361,3.655385064053049,0.4509180784225464,4.0590340891473105
Traffic_Cone37b5,23.77916717529297,54.49799538951231,23.98249053955078,54.51977999961969
Vikings_shield_and_axe1973,1.4550626277923584,3.680133354441524,1.5190541744232178,3.9162446225306433
Xbox_360_Controller0866,4.124466419219971,7.02323600443842,4.124466419219971,7.13932478106983
chair_teacher4659,2.9216620922088623,1.7510612181291405,3.4065101146698,1.9092347917418617
elephant_android1a39,0.3161787986755371,0.8477318596810026,0.8586287498474121,1.279499529263344
model_New_Qlone183a,0.1670905351638794,1.0923606777119723,0.296122670173645,1.2322913667457298
shield14a6,4.815297603607178,13.777745106954747,4.401021480560303,13.624098910680134
