Scene Name,Translation RMSE x 100,Rotation RMSE,t0 Translation RMSE x 100,t0 Rotation RMSE
fern_0_100_even_odd,0.03214418143033981,0.02760118804872036,0.9680689573287964,1.3997185230255127
fern_30_70_even_odd,0.07243818044662476,0.08911067247390747,9.61656379699707,5.611567974090576
fern_50_50,0.054411064833402634,0.05450879782438278,3.636718273162842,2.9586141109466553
horns_0_100_even_odd,0.007824772037565708,0.015205074101686478,1.7415271997451782,1.2831549644470215
horns_30_70_even_odd,0.0179273784160614,0.012731676921248436,1.609495997428894,1.6391682624816895
horns_50_50,0.022527165710926056,0.024574482813477516,1.0247454643249512,1.6241461038589478
room_0_100_even_odd,0.004455974325537682,0.007633603643625975,2.504030704498291,1.9991281032562256
room_30_70_even_odd,0.033525075763463974,0.023270418867468834,2.0540683269500732,1.8564132452011108
room_50_50,0.012340114451944828,0.02469438500702381,3.233790874481201,3.135272264480591
trex_0_100_even_odd,0.02054433524608612,0.012238721363246441,3.246091604232788,1.4442988634109497
trex_30_70_even_odd,0.018933629617094994,0.01295224018394947,1.3781030178070068,1.7430680990219116
trex_50_50,0.010234297253191471,0.01050442922860384,1.1762566566467285,3.5331318378448486
