Scene Name,Translation RMSE x 100,Rotation RMSE
fern_0_100_even_odd,0.1700512319803238,0.03797883912920952
fern_30_70_even_odd,0.18987689912319183,0.04127109795808792
fern_50_50,0.2089676707983017,0.02657204307615757
horns_0_100_even_odd,0.09838766604661942,0.01669161021709442
horns_30_70_even_odd,0.10000558197498322,0.028208209201693535
horns_50_50,0.09235218167304993,0.010630542412400246
room_0_100_even_odd,0.1296093612909317,0.012395333498716354
room_30_70_even_odd,0.14085328578948975,0.01501838956028223
room_50_50,0.15123355388641357,0.017225593328475952
trex_0_100_even_odd,0.21847474575042725,0.010196284390985966
trex_30_70_even_odd,0.24375252425670624,0.021374637261033058
trex_50_50,0.24216428399085999,0.025065595284104347
