Scene Name,Translation RMSE x 100,Rotation RMSE,t0 Translation RMSE x 100,t0 Rotation RMSE
fern_0_100_even_odd,0.1955142468214035,0.1765887290239334,0.9680689573287964,1.3997185230255127
fern_30_70_even_odd,2.062265634536743,3.9947803020477295,9.61656379699707,5.611567974090576
fern_50_50,1.7020145654678345,1.3820862770080566,3.636718273162842,2.9586141109466553
horns_0_100_even_odd,0.00541394529864192,0.02764052338898182,1.7415271997451782,1.2831549644470215
horns_30_70_even_odd,0.03252791613340378,0.040601812303066254,1.609495997428894,1.6391682624816895
horns_50_50,0.37179994583129883,0.28890278935432434,1.0247454643249512,1.6241461038589478
room_0_100_even_odd,0.044551312923431396,0.029277408495545387,2.504030704498291,1.9991281032562256
room_30_70_even_odd,0.018670378252863884,0.021889159455895424,2.0540683269500732,1.8564132452011108
room_50_50,0.06470630317926407,0.06887880712747574,3.233790874481201,3.135272264480591
trex_0_100_even_odd,0.013913288712501526,0.013391997665166855,3.246091604232788,1.4442988634109497
trex_30_70_even_odd,0.01724814437329769,0.02634950913488865,1.3781030178070068,1.7430680990219116
trex_50_50,0.02049446292221546,0.047312524169683456,1.1762566566467285,3.5331318378448486
