Scene Name,Translation RMSE x 100,Rotation RMSE
fern_0_100_even_odd,0.0371379719581455,0.04304336756467819
fern_30_70_even_odd,0.08849739097058773,0.10214965045452118
fern_50_50,0.07872150745242834,0.10293681919574738
horns_0_100_even_odd,0.010701753490138799,0.020075179636478424
horns_30_70_even_odd,0.030087234335951507,0.02185683324933052
horns_50_50,0.032486082636751235,0.01833951845765114
room_0_100_even_odd,0.005438522202894092,0.007216196041554213
room_30_70_even_odd,0.015299180813599378,0.014535832218825817
room_50_50,0.015029773931019008,0.006251182407140732
trex_0_100_even_odd,0.007251962961163372,0.012220497243106365
trex_30_70_even_odd,0.02321533829672262,0.004495768342167139
trex_50_50,0.0034525070077506825,0.015728363767266273
