Scene Name,Translation RMSE x 100,Rotation RMSE,t0 Translation RMSE x 100,t0 Rotation RMSE
fern_0_100_even_odd,0.06386902183294296,0.0511590950191021
fern_30_70_even_odd,0.07549382001161575,0.06679784506559372
fern_50_50,0.044531844556331635,0.020549355074763298
horns_0_100_even_odd,0.029612058773636818,0.009684601798653603
horns_30_70_even_odd,0.01167844794690609,0.018992848694324493
horns_50_50,0.01306573860347271,0.011981116607785225
room_0_100_even_odd,0.010643251240253448,0.011985600925981998
room_30_70_even_odd,0.012250342406332493,0.02778824232518673
room_50_50,0.015021446160972118,0.004743892699480057
trex_0_100_even_odd,0.029076378792524338,0.013846266083419323
trex_30_70_even_odd,0.014375723898410797,0.0114402761682868
trex_50_50,0.03521723672747612,0.018163276836276054
