Scene Name,Translation RMSE x 100,Rotation RMSE
fern_0_100_even_odd,0.16016076505184174,0.009389149956405163
fern_30_70_even_odd,0.1726401448249817,0.022395474836230278
fern_50_50,0.199608713388443,0.006285118870437145
horns_0_100_even_odd,0.10749051719903946,0.05593398958444595
horns_30_70_even_odd,0.12344788014888763,0.045921869575977325
horns_50_50,0.14609535038471222,0.012275587767362595
room_0_100_even_odd,0.16197896003723145,0.025910038501024246
room_30_70_even_odd,0.13514472544193268,0.04365301877260208
room_50_50,0.12779071927070618,0.03196578472852707
trex_0_100_even_odd,0.271950900554657,0.034959759563207626
trex_30_70_even_odd,0.27911779284477234,0.03493963181972504
trex_50_50,0.23020261526107788,0.026165161281824112
